GUID	| Time
1091	|1,740419
1092	|1,856472
1093	|1,89179
1094	|1,725116
1095	|1,715909
1096	|1,699656
1097	|1,658909
1098	|1,732212
1099	|1,683803
1100	|1,674859
1101	|1,710051
1102	|1,847183
1103	|1,782596
1104	|1,773747
1105	|1,914632
1106	|1,717868
1107	|1,749039
1108	|1,716373
1109	|1,742838
1110	|1,772947
1111	|1,683533
1112	|1,909541
1113	|1,945873
1114	|1,782977
1115	|1,757329
1116	|1,775582
1117	|1,997352
1118	|1,815683
1119	|1,758225
1120	|1,716577
1121	|1,732692
1122	|1,690965
1123	|1,734588
1124	|1,731369
1125	|1,766196
1126	|1,725904
1127	|1,773167
1128	|1,799116
1129	|1,717482
1130	|1,735091
1131	|1,729915
1132	|1,799922
1133	|1,81541
1134	|1,757469
1135	|1,72527
1136	|1,733182
1137	|1,757139
1138	|1,783202
1139	|1,724266
1140	|1,683159
1141	|1,716391
1142	|1,939214
1143	|1,718641
1144	|1,706814
1145	|1,708204
1146	|1,683929
1147	|1,765235
1148	|1,741655
1149	|1,633885
1150	|1,68229
1151	|1,79946
1152	|1,724493
1153	|1,692487
1154	|1,690482
1155	|1,708436
1156	|1,70871
1157	|1,749117
1158	|1,71604
1159	|1,799824
1160	|1,707167
1161	|1,70826
1162	|1,741667
1163	|1,690861
1164	|1,667253
1165	|1,699097
1166	|1,799241
1167	|1,71693
1168	|1,724591
1169	|1,790264
1170	|1,69215
1171	|1,766001
1172	|2,154661
1173	|1,94157
1174	|1,79036
1175	|1,774639
1176	|1,763789
1177	|1,735056
1178	|1,683836
1179	|1,7496
1180	|1,748714
1181	|1,741263
1182	|1,70877
1183	|1,641029
1184	|1,791504
1185	|1,715961
1186	|1,732822
1187	|1,766079
1188	|1,733002
1189	|1,79933
1190	|1,700789
1191	|1,740426
1192	|1,834515
1193	|1,963461
1194	|1,765348
1195	|1,749835
1196	|1,750121
1197	|1,773507
1198	|1,683369
1199	|1,791792
1200	|1,657437
1201	|1,741223
1202	|1,725713
1203	|1,740723
1204	|1,815325
1205	|1,709297
1206	|1,823151
1207	|1,749332
1208	|1,708616
1209	|1,732925
1210	|1,765532
1211	|1,774749
1212	|1,732831
1213	|1,907569
1214	|1,756663
1215	|1,816373
1216	|1,62579
1217	|1,789651
1218	|1,667863
1219	|1,732471
1220	|1,683128
1221	|1,749814
1222	|1,765965
1223	|1,692038
1224	|1,707105
1225	|1,733818
1226	|1,674736
1227	|1,765436
1228	|1,749619
1229	|1,708861
1230	|1,78184
1231	|1,716369
1232	|2,059424
1233	|1,9459
1234	|1,74089
1235	|1,741887
1236	|1,749056
1237	|1,641858
1238	|1,757973
1239	|1,707601
1240	|1,757625
1241	|1,799915
1242	|1,765793
1243	|1,725124
1244	|1,690873
1245	|1,849275
1246	|1,666575
1247	|1,699548
1248	|1,791624
1249	|1,757441
1250	|1,80769
1251	|1,741041
1252	|1,750009
1253	|1,923211
1254	|1,732712
1255	|1,758508
1256	|1,77389
1257	|1,749539
1258	|1,791401
1259	|1,81562
1260	|1,766084
1261	|1,741423
1262	|1,732621
1263	|1,716451
1264	|1,791439
1265	|1,782557
1266	|1,790579
1267	|1,741792
1268	|1,757146
1269	|1,816395
1270	|1,63306
1271	|1,75016
1272	|1,7162
1273	|1,790316
1274	|1,732954
1275	|1,675712
1276	|1,698789
1277	|1,667305
1278	|1,74064
1279	|1,914925
1280	|1,626312
1281	|1,666118
1282	|1,716057
1283	|1,799242
1284	|1,733029
1285	|1,716616
1286	|1,724952
1287	|1,715683
1288	|1,692484
1289	|1,715642
1290	|1,699503
1291	|1,78313
1292	|1,972728
1293	|1,940525
1294	|1,747817
1295	|1,75131
1296	|1,724506
1297	|1,807988
1298	|1,633004
1299	|1,724678
1300	|1,766429
1301	|1,749252
1302	|1,766033
1303	|1,74944
1304	|1,757906
1305	|1,716649
1306	|1,800082
1307	|1,71604
1308	|1,699813
1309	|1,790344
1310	|1,765939
1311	|1,822102
1312	|1,802218
1313	|1,748771
1314	|1,758193
1315	|1,749259
1316	|1,765912
1317	|1,824588
1318	|1,707728
1319	|1,77417
1320	|1,79114
1321	|1,850332
1322	|1,649417
1323	|1,740659
1324	|1,749941
1325	|1,700095
1326	|1,715637
1327	|1,699774
1328	|1,781943
1329	|1,774978
1330	|1,741163
1331	|1,692232
1332	|1,834119
1333	|1,921331
