GUID	|Time
781	|1,815345
782	|1,873912
783	|1,683751
784	|1,740488
785	|1,815668
786	|1,782785
787	|1,80727
788	|1,741101
789	|1,865706
790	|1,823824
791	|2,108011
792	|1,954794
793	|1,840911
794	|1,753104
795	|1,869997
796	|1,815768
797	|1,782661
798	|1,782519
799	|1,840982
800	|1,799346
801	|1,765599
802	|1,757792
803	|1,840473
804	|1,890489
805	|1,882785
806	|1,798574
807	|1,790913
808	|1,798537
809	|1,799807
810	|1,757535
811	|2,064629
812	|1,807418
813	|1,846444
814	|1,76034
815	|1,782646
816	|1,840746
817	|1,865371
818	|1,799192
819	|1,865453
820	|1,840728
821	|1,890813
822	|1,898345
823	|1,790796
824	|1,940478
825	|1,898506
826	|1,807845
827	|1,798285
828	|1,833036
829	|1,749287
830	|2,230523
831	|1,882073
832	|1,75012
833	|1,815121
834	|1,857424
835	|1,898579
836	|1,882033
837	|1,915724
838	|1,848451
839	|1,882255
840	|1,907629
841	|1,914646
842	|1,890376
843	|1,865579
844	|1,807442
845	|1,774588
846	|1,757371
847	|1,832376
848	|1,87464
849	|2,005839
850	|1,790807
851	|1,849195
852	|1,881898
853	|1,873888
854	|1,86538
855	|1,873897
856	|1,915425
857	|1,965053
858	|1,907002
859	|1,882108
860	|1,857101
861	|1,832358
862	|1,950728
863	|1,772692
864	|2,072618
865	|1,865218
866	|1,882146
867	|2,312805
868	|1,808112
869	|1,791727
870	|1,881148
871	|1,890418
872	|1,898979
873	|1,798903
874	|1,816223
875	|1,890477
876	|1,906482
877	|1,8076
878	|1,989351
879	|1,849459
880	|1,874533
881	|1,839946
882	|1,724543
883	|1,953956
884	|1,860184
885	|2,300638
886	|2,118595
887	|1,890493
888	|1,890923
889	|1,923102
890	|1,890647
891	|1,906703
892	|1,865488
893	|1,890481
894	|1,915164
895	|1,874334
896	|1,790998
897	|1,873245
898	|1,774477
899	|1,815509
900	|1,915435
901	|1,956828
902	|1,873673
903	|1,857371
904	|2,478631
905	|1,874437
906	|1,940384
907	|1,890178
908	|1,873697
909	|1,891296
910	|1,881281
911	|1,882627
912	|1,856317
913	|1,899136
914	|1,932243
915	|1,840247
916	|1,816278
917	|1,812611
918	|1,893282
919	|1,858438
920	|1,806018
921	|1,807552
922	|1,799367
923	|2,014575
924	|1,865629
925	|1,857379
926	|1,939892
927	|1,899404
928	|1,823312
929	|1,849074
930	|1,957152
931	|1,906614
932	|1,898794
933	|1,846217
934	|1,909727
935	|1,857449
936	|1,85663
937	|1,882441
938	|1,816043
939	|1,77401
940	|1,857353
941	|1,998239
